回首来时的路，坚定的信念载着我们走了很远。	besssssbesbessbesssss
虽然事情尚无明确证据，但近年来的诸多事例说明，文坛并非净土。	bebessbebessbmesbebebesbebebes
④买作业本别买纸太白的。	ssbmesssssss
研究发现，生活中爱较真、生气又不擅表达的人，植物神经、内分泌与免疫系统会长期处于高度亢奋和紧张状态，易导致乳腺癌和卵巢癌。	bebesbessbesbesssbesssbebesbmesbebesbebebebesbebessbebmesbmes
其中阳澄湖大闸蟹的出水价格平均为每斤130元左右，比去年出水价格每斤降低5元至10元，为近年来首次下降。	bebmebmesbebebesssbmesbessbebebessbesssbesssbmebebes
这凸显了三星手机业务的低迷，并将迫使三星强化当前产品线。	sbesbebebesbesssbebebebebmes
国庆大假临近，你要去的地方路况如何？	bebebesssssbebebes
在此提醒年轻人要注意健康的生活方式：吃好睡好是防病关键。	ssbebmesbebesbebesbebesbebes
他说，苹果公司几乎每年都会推出一种新手机，但iPhone6与iPhone5大同小异，苹果不是在卖手机，而是卖品牌。	sssbebebebessbesssbessbmmmmmesbmmmmmebmmesbessssbessssbes
如果你们爱什么东西，渴望什么东西，相信我，你就去爱吧、去渴望吧！	bebesbebesbebebesbesssssssssbess
阿里数娱旗下猜谜游戏《疯狂来往》被爆泄露隐私，用户玩游戏过程被录成视频上传优酷，其中有许多不雅镜头。	bebebebebesbebesssbebesbesbebesbebebebesbesbebebes
上周，中国电影制片人协会与中国电影发行放映协会这两家半官方机构对全国11家影院票房造假行为处以暂停供片和取消其政府补贴的惩处。	besbebebmebesbebebebebessssbebesssbesbebebebebebebesbesbebesbes
后悔，是用无奈的往事摧残自己；	besssbesbebebes
工信部规定，携带范围限定在同一个本地网内的移动电话号码。	bmebesbebebessssbesssbebebes
以前增速那么高，现在增速下降一点儿，属于市场正常的调节。	bebebessbebebebmesbebebesbes
【人民币对美元汇率中间价跌15个基点创年内新低】	sbmesbebebmesbesbesssbes
秦妹妹是我们壮族人，来自南宁，毕业于广西艺术学院舞蹈系。	bmesbebessbebesbmebebebebmes
声明说，俄方不能容忍物资运输被推迟，因此做出这一决定。	bessbessbebebesbesbebessbes
移动终端时代，眼睛的日子格外艰难。	bebebesbesbebebes
河南摄影家协会的一位领导称：“秦玉海的摄影作品全都经过必要的修图软件处理。”	bebmebesssbesssbmesbebessbebesbebebess
分享你的故事，说说你的金点子，只要转发评论@三好友，就有可能获得精美礼品。	bessbesbesssbesbebebessbesssbebebebes
“作为一个强迫症患者，我总是想把每一点都做好，每个细节带出我们的骄傲和喜悦。”	sbessbmebessbesssbesbesssbebebesbesbess
越有故事的人越沉静简单，越肤浅单薄的人越浮躁不安。	ssbesssbebessbebesssbebes
《荀子汉兵》写到：“闻鼓声而进，闻金声而退。”	sbebessssssbessssbessss
比赛吸引了来自全世界逾千名万智爱好者齐聚一堂，争夺超过35,000美元的总奖金。	bebesbebmebesbebmebmmesbebebmmmmebessbes
如果老天能让我长高十厘米，我愿意以瘦十斤的代价来交换。	bebesssbesbessbesssssbesbes
如果考生身份证丢失，应持由当地派出所出具的带照片且在照片上加盖压角公章的户籍证明。	bebebmebessssbebmebessbessbesbebebesbebes
【沪苏浙皖99个免费景点名单大放送，长假你最想去哪个】	sssssbesbebebesbesbesssssss
公路路况信息:截止今天17时，G25杭千高速因杭向富阳段多车追尾，车辆通行受阻，交警部门采取杭向富春江至杨春桥、寿昌至大店口入口临时关闭的管制措施，杭州辖区内其他高速公路通行正常。	bebebesbebebmesbmebebesbebesssbesbebebesbebebebebmesbmesbesbmebebebesbebesbebesbebebebebes
未来俄中两国凭借紧密的军事和经济合作，几乎可让西方所有压力化为乌有。	bessssbebesbesbebesbessbebebebmmes
当“乡愁”与时代发展大潮交织时，那些承载了乡村文明的传统村落能留住一些就多留住一些。	ssbessbebebebessbebesbebesbebesbebessbebes
光明网刊发署名“国平”的评论文章，称总有一些人想折腾一点事情出来，不想看到香港好下去，香港极端反对派的“占领中环”行径就是这种折腾。	bmebebesbessbebessssbessbebebebesssbebesbesbebebmessbebesbessssbes
③坚持把中国共产党建设好，坚决祛除党肌体上的毒瘤。	sbesbebmebessbebesbessbes
信息一公布在贴吧以及微博上，便引起千名网友的谴责，纷纷求人肉该名中学生。	besbesbebebesssbessbesbesbesbessbmes
14日凌晨，田华带上装有汽油的油桶、打火机来到刘家。	bmebesbebebebesbesbmebebes
26日，从三亚国际商会一届二次理事会暨商会领袖高峰论坛筹备启动仪式上了解到，商会领袖高峰论坛将于12月在三亚举办，论坛主题为“汇聚全球商协会资源助力国际旅游岛建设”。	bmessbebebessssbmesbebebebebebebesbessbebebebessbmesbebesbebessbebebmebebebebmebess
世界上有什么地方出现麻烦的时候，人们不会找北京，不会找莫斯科，而是找我们帮忙。”	bessbebebebesbesbesssbessssbmesbesbebess
专家们对该片的艺术风格等方面进行交流研讨。	bmessssbebesbebebebes
中国尚没有能够支持最大起飞重量13.8吨的直-18的驱逐舰或护卫舰。	besbebebessbebebmmessbmmesbmesbmes
昨日普京曾表示，与斯托尔滕贝格“私交不错”。	bebesbessbmmmmesbebess
今年9月，“开锁辉”谭飞龙协助广州警方破案中弹牺牲，享年53岁。	bebessbmesbmebebebebebebesbebess
请让阅读成为成长的自觉。	ssbebebesbes
1942年的今天，陈独秀去世，而他的精神在万万千千的新青年身上，万世永存。	bmmmesbesbmebessssbesbmmessbebesbebes
董俊昌和已故的父亲董森峰，68年来一直义务为河北青县烈士陵园扫墓、守墓，为此还拒绝搬到城市生活。	bmesbesbebmesbessbebesbebebebebesbessssbebebebes
时隔一年，总理兑现了诺言，昨天起，坛坂坡通水通路啦！	besssbebesbesbessbmebebess
喜爱收藏品和书画的朋友们不要错过了。	bebmesbesbmessbess
成都市气象台预测，今天白天的天气继续为蓉城秋天的“标配”。	bmebmebesbebesbebesbebessbess
③教育背景：由近及远，注明GPA及排名；	sbebessssssbebmesbes
—天气闷热就吸点氧，胃口不好就吊氨基酸，补血补气的药膳轮番上阵…	sbebesssssbessssbmesbebesbebebes
图虽然很简单，但是加上你和宝宝自己的线条和风格，一定会不一样呢！	sbesbesbebessbebesbesbesbessbess
据网友@是林丽姗不是林丽珊：今晚10点左右西门永辉发生命案，一男子在超市二楼当场砍死一人，后跑到85度C门口又捅了两个路人，一个当场身亡，一个被救护车带走抢救，希望平安无事。	sbessbmessbmesbebmebebebebebessbesbessbebessssbebmmebesssssbesssbebessssbmebebesbebmmes
一对夫妻给自己办了一场哈利波特主题的婚礼，很好玩超有创意！	ssbesbessssbmmebesbessbessbes
曾经你是否也曾勇敢、敏感，有过疯狂的高中生涯，那时你有豪放不羁的年华和难以忘却、值得珍惜的人…	besbessbesbesssbesbebesbessbebesbesbebesbebesss
今天下午，在亚运会羽毛球男单半决赛中，林丹以2-1再次击败马来西亚名将李宗伟，闯进男单决赛。"	bebessbmebmebebmessbesbmebebebmmebebmesbebebess
【你的智能手机可能在眼皮底下偷走你的信息】	sssbebebesbebebessbes
2005年，作为浙江省农科院一名科技人员，被下派到青田县担任科技特派员。	bmmmesbebmebmessbebessbesbmebebebmes
④登革热流行期间应避免种养水生植物，如必须种养则改为用泥沙种养；	sbmebebesbebebebessbebesbesbebes
当室内温度处于18°C~25°C，湿度为45％~65％时，人的身体、思维会处于最佳状态。	sbebebebebesbebesbesbmesbmessssbesbesbessbes
大假第三天，城内车辆明显减少，成绵高速城北出囗车辆稀少。	bebessssbebebesbebebebebebes
中国第一批、第二批“慰安妇”原告分别于1995年、1996年向日本东京地方裁判所提起诉讼。	bebessbessbmesbebesbmmmesbmmmesbebebebmebebes
-创业板在本轮反弹中已经逐步拉开与主板的距离，主板量价表现相形见拙，投资者对市场的选择已经明确。	sbmesssbesbebebesbesbesbebebebmmesbmesbesbebebes
妈妈哭着说“整整50巴掌啊…	bessssbebebess
愿奋斗的秋天，会有最理想的收获！	sbesbessssbesbes
-土耳其电信监管机构周二解除了YouTube禁播令。	sbmebebebebebesbmmmmmebmes
解放前的天津工业，由于带着浓厚的殖民地性，在帝国主义和官僚资本的重重压迫下，已奄奄待毙。	bessbebesbessbesbmmessbmmesbebesbebesssbebes
据介绍，国博中心南登录厅，将建成目前国内最高端的进口自行车展示厅，预计12月开业。	sbesbebesbmessbebebesbesbebmebmesbebmebes
当地城管部门的统计称，措施实行一周以来，违规行人较此前下降五成。	bebebesbessbebessbesbebesbebebes
十一长假，放下慵懒，与家人说说那些日理万机的事情吧。	bebesbebessbebebebmmesbess
今年中秋小长假为9月6日至8日，合肥火车站将在此期间增开27趟临客，旅客现在可通过网络、代售点等购买到中秋假期火车票。	bebesbesbebesbesbebmesssbebebesbesbebesbebesbmesbesbebebmes
【我的信息，鼓了谁的钱包？】	sssbesssssbess
【“合肥房叔”被控染指63套安置房】	ssbebesssbebesbmes
他是新疆阿勒泰地区布尔津县公安局国保大队教导员，除会说本民族语言外，还会说流利的哈语、汉语和蒙语。	ssbebmebebmmebmebmmebmesssssbebesssssbesbesbesbes
③及时清理垃圾、垃圾统一回收处理；	sbebebesbebebebes
每年分配郑州市水量为5.4亿立方米，相当于郑州新增一座大型水库。	bebebmebesbmmebmesbmebebessbebes
对中国而言，提供一个开放民主自由的宽松环境是当务之急。	sbebesbessbebebesbebesbmmes
几十年来，让最优秀的学生去留学是中韩两国的务实选择。	besssssbesbesbessssssbebes
她父亲是退役军人，带领英国轮椅篮球队胜出。	sbesbebesbebebebmebes
与基地组织有联系的努斯拉阵线领导人乔拉尼28日呼吁美国和欧洲人民制止对叙利亚目标发动空袭，警告空袭将把战火延烧到西方国家。	sbebesbesbmebebmebmebmebebesbebebesbmebebebesbebessbebesbebes
已有律师愿意承接针对苏宁的集体诉讼，目前正在收集证据。	ssbebebebebesbebesbebebebes
警方表示，伤者中有6人情况危急，死亡数字可能还会上升。	bebesbessssbebesbebebessbes
受到监测的人此前曾接触过后来在达拉斯入院接受治疗的一名利比里亚人。	bebessbesbesbesbmebebebesssbmmess
多一次转发，少一分耽搁，扩散！	sssbessssbesbes
曾经热闹的手机芯片业务正迅速降温，继德州仪器宣布退出之后，博通公司如今也打起了退堂鼓。	bebesbebebesbebessbebebebebesbebebesbesbmes
【广东登革热病例破万，仅梅州市幸免】	sbebmebebessbmebes
2014熊猫杯国际青年足球邀请赛今天在四川都江堰凤凰体育中心开打，中国U19国青队迎来首个对手新西兰国青队。	bmmebesbebebebmebesbebmebebebebesbebmebmebessbebmebmes
不必为虚无动情，为沉沦失声。	sssbebessbebes
国庆期间，路桥区慈善总会义工分会为帮助蓬街镇一位恶性肿瘤患儿筹集医疗费用，举办爱心延续生命义卖活动，三个晚上共筹集善款2万余元，善款将全部捐给患儿林某。	bebesbmebebebebesbebmessbebebebebebesbebebebebebesssbesbebebmessbesbebebebes
国际货币基金组织(IMF)表示，将俄罗斯2015年GDP增长率预期缩减一半至0.5%，理由是国际紧张局势导致原预期有过高风险。	bebebebesbmesbessbmebmmmebmebmebebebesbmmesbesbebebebesbesssbes
俄罗斯的国徽是双头鹰，一头望着西方，另一头望着东方，象征着欧、亚两个大陆的统一。	bmesbesssssssssbessssssbesbessssssbesbes
主演巩俐接受采访时表示：“这是一部很难拍的片子，剧本改编难度大，但改编得很妙。	bebebebesbessssssssssbesbebebesssbessss
【越方渔船撞击中方渔船后倾覆外交部敦促越方停止干扰破坏】	sbebebebebesbebmebebebebebes
案件正在查处，但也由此可见，儿童安全问题非常严峻。	bebebesssbebesbebebebebes
之后全国将降半旗、并为遇难者默哀一分钟。	bebessbesssbmebesbes
再加上他之前的作品，一起来感受下吧！	sbesbesbesbesbesss
根据上海市政府的相关测算，平均汽车价格大概会便宜到15%左右，而像一些豪华车和高端汽车，优惠幅度可能会达到20%-30%。	bebmebesbebesbebebebesbesbmebesssbebmesbebesbebebesbebmesbmes
中国家族企业的难题：为何富二代们拒绝接班？	bebebesbesbebmmebebes
他在文革十年浩劫后开启一个国家新的时代，他规划了改革的蓝图，后代仍在继续描绘。	ssbessbesbessbessbessbesbesbesbessbebes
22日，广汉市文物管理部门接信息后，立即派人到现场，在警方协助下依法将这24件文物收回。	bmesbmebebebesbessbesssbessbebesbessbesbebes
泮某与死者王某系邻居，因“道地”占用问题两家有矛盾。	besbebesbesssbesbebesssbes
岱黄高速刘店段9日起施工，武汉北大门拥堵2年内难缓解。	bebebesbessssbesbebessssbes
雷毅，云南国企云锡集团党委书记、董事长，2013年落马。	besbebebebebebesbmesbmmmebes
境界，不在诗情画意中，而在平常心态里；	besssbebessssbebess
【携号转网想说爱你不容易】	sssbesssssbes
该同志于2014年2月24日无故擅自离岗，至今未归，在单位和社会上造成严重不良影响，特责令其自公告发布之日起5日内向县委、县人民政府主要领导报到…	sbesbmmmebebmebebebesbessssbesbesbebebebessbessbebesssssssbessbebebebebes
